id_acidente;id_veiculo;tipo_veiculo;sexo_condutor;idade_condutor;categoria_habilitacao;usa_cinto_seguranca;estado_alcoolizacao;escolaridade
D011100001;1;AU;M;21;SI;X;BR;7
D011100002;1;MO;M;27;SI;X;BR;7
D011100002;2;AU;M;61;SI;X;BR;6
D011100003;1;MO;M;30;SI;X;BR;5
D011100003;2;AU;X;SI;SI;X;BR;8
D011100004;1;AU;M;35;SI;X;BR;5
D011100004;2;AU;M;48;SI;X;BR;5
D011100005;1;MO;M;28;SI;X;BR;7
D011100005;2;AU;M;71;SI;X;BR;8
D011100006;1;MO;M;21;SI;X;BR;5
D011100007;1;AU;M;24;SI;X;BR;8
D011100008;1;MO;M;SI;SI;X;BR;5
D011100008;2;AU;X;SI;SI;X;BR;8
D011100008;3;AU;M;28;SI;X;BR;5
D011100009;1;OU;X;SI;SI;X;BR;8
D011100010;1;AU;M;28;SI;X;BR;5
D011100011;1;AU;M;22;SI;X;BR;6
D011100012;1;AU;X;34;SI;X;BR;5
D011100013;1;AU;M;52;SI;X;BR;8
D011100013;2;AU;M;34;SI;X;BR;7
D011100014;1;AU;M;28;SI;X;BR;8
D011100015;1;OU;M;40;HA;X;BR;3
D011100016;1;ON;M;48;SI;X;BR;3
D011100017;1;AU;F;44;SI;X;BR;7
D011100018;1;MO;M;26;SI;X;BR;3
D011100018;2;AU;M;61;SI;X;BR;7
D011100019;1;SI;X;SI;SI;X;BR;8
D011100020;1;AU;X;SI;SI;X;BR;8
D011100021;1;AU;F;30;SI;X;BR;7
D011100022;1;AU;X;SI;SI;X;BR;8
D011100023;1;AU;M;39;SI;X;BR;3
D011100023;2;BI;M;12;NE;X;BR;3
D011100024;1;MO;F;31;HA;X;BR;7
D011100024;2;CM;M;27;HA;X;BR;5
D011100025;1;MO;X;SI;SI;X;BR;8
D011100026;1;MO;M;37;SI;X;BR;7
D011100027;1;SI;M;29;SI;X;BR;8
D011100028;1;MO;M;25;SI;X;BR;5
D011100028;2;AU;M;28;SI;X;BR;5
D011100029;1;AU;M;47;SI;X;BR;7
D011100030;1;MO;X;SI;SI;X;BR;8
D011100030;2;MO;M;26;SI;X;BR;5
D011100030;3;AU;X;SI;SI;X;BR;8
D011100031;1;CA;M;29;SI;X;BR;7
D011100031;2;CM;F;34;SI;X;BR;7
D011100032;1;ON;M;22;SI;X;BR;5
D011100033;1;CM;M;52;SI;X;BR;3
D011100033;2;BI;M;36;NE;X;BR;8
D011100034;1;AU;F;38;HA;X;BR;7
D011100035;1;AU;F;44;SI;X;BR;7
D011100035;2;SI;M;38;SI;X;BR;3
D011100036;1;AU;F;36;SI;X;BR;7
D011100036;2;MO;M;36;SI;X;BR;8
D011100037;1;AU;M;23;SI;X;BR;5
D011100038;1;MO;M;27;SI;X;BR;5
D011100039;1;MO;M;24;SI;X;BR;5
D011100040;1;MO;M;30;SI;X;BR;7
D011100040;2;MO;M;42;SI;X;BR;3
D011100041;1;MO;M;34;SI;X;BR;7
D011100041;2;AU;M;32;SI;X;BR;5
D011100042;1;MO;M;46;SI;X;BR;3
D011100043;1;OU;M;45;HA;X;BR;5
D011100044;1;CA;M;44;SI;X;BR;4
D011100044;2;CM;M;38;SI;X;BR;5
D011100045;1;AU;X;SI;SI;X;BR;8
D011100045;2;CM;F;31;SI;X;BR;7
D011100045;3;AU;X;SI;SI;X;BR;8
D011100045;4;AU;F;25;SI;X;BR;8
D011100047;1;MO;M;19;IN;X;BR;3
D011100047;2;AU;X;SI;SI;X;BR;8
D011100048;1;MO;M;62;SI;X;BR;7
D011100048;2;AU;M;25;SI;X;BR;3
D011100049;1;OU;M;58;HA;X;BR;3
D011100050;1;AU;M;57;SI;X;BR;8
D011100050;2;CM;M;26;SI;X;BR;6
D011100051;1;AU;M;44;SI;X;BR;7
D011100052;1;AU;M;43;SI;X;BR;5
D011100053;1;AU;M;53;SI;X;BR;7
D011100053;2;OU;M;SI;HA;X;BR;8
D011100054;1;AU;M;41;SI;X;BR;8
D011100054;2;AU;F;22;SI;X;BR;3
D011100055;1;MO;M;50;SI;X;BR;3
D011100056;1;MO;M;26;IN;X;BR;7
D011100057;1;MO;M;27;SI;X;BR;3
D011100058;1;MO;X;SI;SI;X;BR;8
D011100059;1;MO;M;25;HA;X;BR;3
D011100059;2;CM;M;43;HA;X;BR;5
D011100060;1;AU;M;24;SI;X;BR;6
D011100061;1;AU;M;51;SI;X;BR;3
D011100062;1;MO;M;25;SI;X;BR;8
D011100062;2;OU;M;31;HA;X;BR;4
D011100062;3;AU;M;40;SI;X;BR;3
D011100063;1;MO;M;24;SI;X;BR;5
D011100064;1;AU;M;48;HA;X;BR;4
D011100065;1;CM;M;SI;SI;X;BR;8
D011100066;1;MO;X;SI;SI;X;BR;8
D011100066;2;BI;M;13;NE;X;BR;2
D011100067;1;AU;M;60;HA;X;BR;3
D011100067;2;MO;X;SI;SI;X;BR;8
D011100067;3;MO;M;43;HA;X;BR;3
D011100068;1;AU;M;38;SI;X;BR;7
D011100068;2;AU;M;58;SI;X;BR;3
D011100069;1;MO;M;30;SI;X;BR;3
D011100069;2;AU;M;26;SI;X;SA;5
D011100070;1;AU;F;30;SI;X;BR;5
D011100070;2;AU;M;SI;SI;X;BR;8
D011100071;1;OU;M;39;HA;X;BR;3
D011100072;1;MO;X;SI;SI;X;BR;8
D011100073;1;MO;M;39;SI;X;BR;8
D011100073;2;AU;M;30;SI;X;BR;5
D011100074;1;MO;F;21;SI;X;BR;4
D011100074;2;AU;F;SI;SI;X;BR;8
D011100075;1;MO;M;27;HA;X;BR;8
D011100075;2;AU;M;29;HA;X;BR;7
D011100076;1;MO;F;SI;SI;X;BR;8
D011100076;2;AU;M;72;SI;X;BR;5
D011100076;3;AU;M;59;SI;X;BR;8
D011100076;4;CM;M;31;SI;X;BR;5
D011100077;1;OU;M;39;HA;X;BR;7
D011100078;1;CM;X;SI;SI;X;BR;8
D011100079;1;OU;M;47;HA;X;BR;3
D011100080;1;AU;F;28;SI;X;BR;7
D011100080;2;CM;M;23;SI;X;BR;7
D011100080;3;AU;M;28;SI;X;BR;5
D011100080;4;AU;M;48;SI;X;BR;3
D011100081;1;AU;F;38;SI;X;BR;5
D011100081;2;ON;M;63;SI;X;BR;3
D011100082;1;MO;M;30;SI;X;BR;5
D011100082;2;AU;M;50;SI;X;BR;7
D011100083;1;ON;M;43;SI;X;BR;3
D011100084;1;MO;M;27;SI;X;BR;5
D011100084;2;AU;M;27;SI;X;BR;3
D011100085;1;MO;M;26;HA;X;BR;7
D011100085;2;AU;M;27;HA;X;BR;7
D011100086;1;AU;M;29;SI;X;BR;8
D011100087;1;MO;M;27;SI;X;BR;7
D011100087;2;AU;X;SI;SI;X;BR;8
D011100088;1;AU;M;49;SI;X;BR;8
D011100088;2;OU;M;61;HA;X;BR;8
D011100089;1;MO;M;42;SI;X;BR;8
D011100089;2;AU;M;30;IN;X;BR;5
D011100090;1;AU;M;32;SI;X;BR;3
D011100091;1;OU;M;43;HA;X;BR;2
D011100092;1;MO;M;25;SI;X;BR;5
D011100092;2;AU;F;49;SI;X;BR;6
D011100093;1;MO;M;27;SI;X;BR;5
D011100093;2;MO;M;25;SI;X;BR;3
D011100094;1;MO;M;21;SI;X;BR;3
D011100094;2;AU;F;47;SI;X;BR;8
D011100095;1;MO;M;19;SI;X;BR;5
D011100095;2;AU;M;31;SI;X;BR;7
D011100095;3;AU;M;37;SI;X;BR;7
D011100096;1;MO;F;29;SI;X;BR;3
D011100096;2;OU;M;45;HA;X;BR;8
D011100097;1;AU;M;25;SI;X;BR;7
D011100098;1;AU;M;27;SI;X;BR;5
D011100099;1;MO;X;SI;SI;X;BR;8
D011100099;2;AU;F;55;SI;X;BR;8
D011100099;3;AU;F;38;SI;X;BR;7
D011100099;4;AU;M;41;SI;X;BR;5
D011100099;5;AU;M;28;SI;X;BR;7
D011100100;1;AU;M;23;SI;X;BR;5
D011100100;2;MO;M;36;SI;X;BR;8
D011100101;1;CM;M;21;HA;X;BR;5
D011100102;1;MO;F;39;SI;X;BR;5
D011100102;2;AU;F;38;SI;X;BR;7
D011100103;1;AU;M;50;SI;X;SA;8
D011100103;2;BI;M;33;NE;X;BR;8
D011100103;3;AU;M;41;SI;X;BR;3
D011100103;4;AU;X;SI;SI;X;BR;8
D011100104;1;AU;M;30;SI;X;BR;5
D011100105;1;AU;F;62;SI;X;BR;6
D011100105;2;MO;M;35;SI;X;BR;6
D011100106;1;AU;M;48;SI;X;BR;5
D011100107;1;AU;M;35;SI;X;BR;5
D011100107;2;MO;M;19;SI;X;BR;3
D011100108;1;AU;M;36;SI;X;BR;7
D011100109;1;AU;M;43;SI;X;BR;7
D011100109;2;MO;M;25;IN;X;BR;3
D011100110;1;MO;M;34;SI;X;BR;5
D011100111;1;OU;M;40;HA;X;BR;3
