codlog;tipo;titulo;preposicao;nome;cep
00002;R; ; ;COUTO DE CALVAO;05859-000
00003;R; ;DO;PIROFONE;04933-000
00004;R; ;DOS;ABACATEIROS;02431-000
00005;R; ; ;ABADIA DOS DOURADOS;05586-000
00006;R; ; ;ABADIANIA;03541-000
00007;R; ; ;ABAETE;08431-000
00008;R;VISC;DE;ABAETE;03012-000
00009;R; ; ;ABAETETUBA;04223-000
00011;R; ; ;ABAIBAS;02728-000
00012;R; ; ;ABAITARA;03714-000
00013;R; ; ;ABAITINGA;08010-000
00014;R; ; ;ABAIU;03237-000
00015;R; ; ;ABAGIBA;04294-000
00016;R; ; ;ABAPA;02911-000
00017;R; ; ;ABAPORU;03404-000
00018;R; ; ;ABARA;04707-000
00019;R; ; ;PEDRO OSORIO FILHO;02614-000
00020;R; ;DO;FONOGRAFO;04933-000
00022;R; ; ;ABACAI;04570-000
00023;R; ; ;ABATIRA;04364-000
00024;R; ; ;ABATIXI;04225-000
00025;R; ; ;ABAUNA;04284-000
00026;R;MAJ; ;ALMEIDA QUEIROZ;05531-000
00027;R; ; ;ABDENAGE DA COSTA MOREIRA;02217-000
00028;R; ; ;ABDON MILANES;03757-000
00029;R; ; ;ABEGOARIA;05436-000
00030;R; ; ;ABEL MOREIRA;03758-000
00031;R;SOLD; ;ABEL ANTONIO MEDANHA;02144-000
00032;R; ; ;ABEL DE ARAUJO;02451-000
00033;R; ; ;ABEL RAMOS;02130-000
00034;R; ; ;ABEL SEIXAS;04754-000
00035;R; ; ;PEDRO PECCININI;05532-000
00036;R;DR; ;ABELARDO DA CUNHA LOBO;05778-000
00037;TV;PROFA; ;MARIA JOSE DUPRE;04155-000
00038;R; ; ;ABELARDO PINTO;01034-000
00039;AV;PDE; ;SENA FREITAS;03568-000
00040;R;DR; ;ABELARDO VERGUEIRO CESAR;04635-000
00041;R; ; ;ABERNESSIA;03420-000
00042;R;PROF; ;PIQUET CARNEIRO;02075-000
00043;R; ; ;LUPICINIO RODRIGUES;05788-000
00044;R; ; ;AUGUSTO RIBEIRO FILHO;04614-000
00045;R; ; ;ABEYLARD QUEIROS;04155-000
00046;R;BR;DE;ABIAI;03375-000
00047;R;PROFA; ;ABIGAIL ALVES PIRES;05381-000
00048;R; ; ;ABILIO;02235-000
00049;R;STO; ;ABILIO;02464-000
00050;R; ; ;ABILIO ALVES DE SOUSA;02861-000
